wind,hour,profit
w1,1,1311.7913215110002
w1,2,1288.115712279
w1,3,1245.0592321200002
w1,4,1184.8914082170002
w1,5,1145.316816072
w1,6,1109.001307986
w1,7,1061.198335296
w1,8,1400.6496319999997
w1,9,1397.9712399999999
w1,10,1379.5128479999998
w1,11,1466.59986
w1,12,1423.5386220000003
w1,13,1126.04778
w1,14,882.46026
w1,15,580.4631360000001
w1,16,379.07654400000007
w1,17,330.84909000000005
w1,18,422.69535
w1,19,523.1251080000001
w1,20,600.165324
w1,21,699.4603440000001
w1,22,877.6251
w1,23,1046.704232
w1,24,1259.2818719999998
w2,1,1415.7854516520001
w2,2,1402.862822262
w2,3,1384.709677956
w2,4,1356.1569669780001
w2,5,1319.034754917
w2,6,1259.82575631
w2,7,1214.0234094779998
w2,8,1638.2627679999998
w2,9,1610.712992
w2,10,1550.305048
w2,11,1547.9242020000004
w2,12,1537.09083
w2,13,1527.8125499999999
w2,14,1558.439586
w2,15,1577.4992640000003
w2,16,1464.931512
w2,17,1284.42105
w2,18,1182.756366
w2,19,1198.4140080000002
w2,20,1233.7651260000002
w2,21,1320.9504660000002
w2,22,1464.3630540000001
w2,23,1597.365216
w2,24,1711.864896
w3,1,1430.7240726900002
w3,2,1433.628207
w3,3,1427.0808438810002
w3,4,1420.120141011
w3,5,1407.621607425
w3,6,1387.621495161
w3,7,1359.761781312
w3,8,1809.0718
w3,9,1760.3200160000001
w3,10,1697.86488
w3,11,1677.5086680000002
w3,12,1627.111926
w3,13,1583.719632
w3,14,1554.2142660000002
w3,15,1541.2399200000002
w3,16,1543.7664
w3,17,1409.7801960000002
w3,18,1067.196042
w3,19,623.929482
w3,20,331.98165
w3,21,429.44715
w3,22,221.341428
w3,23,349.009416
w3,24,613.825168
w4,1,1371.064856436
w4,2,1383.529585284
w4,3,1379.695820679
w4,4,1382.824295523
w4,5,1384.605190584
w4,6,1381.280033628
w4,7,1366.241534955
w4,8,1823.7198479999997
w4,9,1764.1577119999997
w4,10,1637.961896
w4,11,1559.53512
w4,12,1350.462366
w4,13,1025.19549
w4,14,804.239568
w4,15,574.334244
w4,16,372.222378
w4,17,418.942656
w4,18,326.713068
w4,19,531.183708
w4,20,343.78423200000003
w4,21,361.51533000000006
w4,22,366.41583
w4,23,375.39357599999994
w4,24,258.594224
w5,1,1292.602522959
w5,2,1312.493538114
w5,3,1314.478798182
w5,4,1327.107940983
w5,5,1337.2923865950002
w5,6,1340.6236898670002
w5,7,1323.784320606
w5,8,1719.5844720000002
w5,9,1512.4435680000001
w5,10,1225.449552
w5,11,965.8384560000001
w5,12,656.701848
w5,13,358.67304
w5,14,432.252414
w5,15,366.91677
w5,16,509.408064
w5,17,455.1301260000001
w5,18,445.86273600000004
w5,19,485.56332000000003
w5,20,373.33751400000006
w5,21,271.137042
w5,22,308.81644200000005
w5,23,280.14759999999995
w5,24,276.112128
w6,1,1380.487158864
w6,2,1385.3442850830002
w6,3,1377.828877194
w6,4,1371.619561455
w6,5,1361.533456899
w6,6,1341.554856741
w6,7,1315.193307417
w6,8,1749.25508
w6,9,1673.569992
w6,10,1550.5343839999998
w6,11,1473.5955960000003
w6,12,1334.371302
w6,13,1157.779062
w6,14,1056.6153180000001
w6,15,967.4349300000001
w6,16,859.573836
w6,17,719.0971920000002
w6,18,582.7718160000001
w6,19,484.206426
w6,20,452.58840000000004
w6,21,473.00932800000004
w6,22,521.1235260000001
w6,23,586.485792
w6,24,710.5123839999999
