bess,hour,profit
bess1,1,-3010.0860417869962
bess1,2,-3828.1453355969993
bess1,3,-4361.929831512002
bess1,4,-4479.432027641998
bess1,5,-4392.1159259669985
bess1,6,-4052.983721193002
bess1,7,-1022.3874229140004
bess1,8,0.0
bess1,9,0.0
bess1,10,0.0
bess1,11,0.0
bess1,12,0.0
bess1,13,0.0
bess1,14,2401.726338000008
bess1,15,0.0
bess1,16,2983.6901160000007
bess1,17,5226.285239999997
bess1,18,2293.6496220000045
bess1,19,6286.722948000001
bess1,20,1975.1357526121042
bess1,21,3979.870289999993
bess1,22,0.0
bess1,23,0.0
bess1,24,0.0
