bess,hour,SOC
bess1,1,0.5054197699666667
bess1,2,0.5123124856000001
bess1,3,0.5201662997333334
bess1,4,0.5282316808666667
bess1,5,0.5361398461666668
bess1,6,0.5434373915333335
bess1,7,0.5452782374666668
bess1,8,0.5452782374666668
bess1,9,0.5452782374666668
bess1,10,0.5452782374666668
bess1,11,0.5452782374666668
bess1,12,0.5452782374666668
bess1,13,0.5452782374666668
bess1,14,0.5409538413882354
bess1,15,0.5409538413882354
bess1,16,0.5355815982509805
bess1,17,0.5261714806039217
bess1,18,0.5220416806039218
bess1,19,0.5107222060941178
bess1,20,0.5071659019607843
bess1,21,0.5
bess1,22,0.5
bess1,23,0.5
bess1,24,0.5
