time_id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24
1,67.29480000000001,60.4407,112.15800000000002,46.10940000000001,44.24009999999999,84.7416,77.88749999999999,106.5501,109.0425,121.50450000000002,0,0,165.12149999999997,120.8814,197.52270000000001,62.31,0,207.4923,112.78109999999998,79.7568,0,0,0,0
2,63.2772,56.832300000000004,105.462,43.3566,41.59889999999999,79.6824,73.2375,100.18889999999999,102.5325,114.25050000000002,0,0,155.2635,113.66460000000001,185.7303,58.59,0,195.1047,106.04789999999998,74.9952,0,0,0,0
3,60.264,54.126,100.44,41.292,39.617999999999995,75.88799999999999,69.74999999999999,95.41799999999999,97.64999999999998,108.81000000000002,0,0,147.86999999999998,108.252,176.886,55.79999999999999,0,185.81399999999996,100.99799999999999,71.42399999999999,0,0,0,0
4,59.259600000000006,53.2239,98.766,40.6038,38.9577,74.6232,68.58749999999999,93.82770000000001,96.0225,106.99650000000001,0,0,145.4055,106.4478,173.9379,54.87,0,182.7171,99.31469999999999,70.2336,0,0,0,0
5,59.259600000000006,53.2239,98.766,40.6038,38.9577,74.6232,68.58749999999999,93.82770000000001,96.0225,106.99650000000001,0,0,145.4055,106.4478,173.9379,54.87,0,182.7171,99.31469999999999,70.2336,0,0,0,0
6,60.264,54.126,100.44,41.292,39.617999999999995,75.88799999999999,69.74999999999999,95.41799999999999,97.64999999999998,108.81000000000002,0,0,147.86999999999998,108.252,176.886,55.79999999999999,0,185.81399999999996,100.99799999999999,71.42399999999999,0,0,0,0
7,74.32560000000001,66.7554,123.876,50.9268,48.862199999999994,93.59519999999999,86.02499999999998,117.6822,120.43499999999999,134.199,0,0,182.373,133.5108,218.15939999999998,68.82,0,229.17059999999998,124.56419999999999,88.08959999999999,0,0,0,0
8,86.3784,77.58059999999999,143.964,59.185199999999995,56.78579999999999,108.77279999999999,99.97499999999998,136.76579999999998,139.96499999999997,155.961,0,0,211.94699999999997,155.16119999999998,253.5366,79.97999999999999,0,266.3334,144.76379999999997,102.37439999999998,0,0,0,0
9,91.62852631578947,82.29599122807018,152.71421052631578,62.78250877192983,60.23727192982456,115.3840701754386,106.05153508771927,145.0785,148.472149122807,165.44039473684214,0,0,224.82925438596487,164.59198245614036,268.9466929824561,84.84122807017543,0,282.5212894736842,153.56262280701753,108.59677192982456,0,0,0,0
10,96.4224,86.6016,160.704,66.0672,63.38879999999999,121.4208,111.59999999999998,152.6688,156.23999999999998,174.09600000000003,0,0,236.592,173.2032,283.01759999999996,89.28,0,297.30240000000003,161.59679999999997,114.2784,0,0,0,0
11,96.4224,86.6016,160.704,66.0672,63.38879999999999,121.4208,111.59999999999998,152.6688,156.23999999999998,174.09600000000003,0,0,236.592,173.2032,283.01759999999996,89.28,0,297.30240000000003,161.59679999999997,114.2784,0,0,0,0
12,95.418,85.69949999999999,159.03,65.37899999999999,62.7285,120.15599999999999,110.43749999999999,151.0785,154.61249999999998,172.2825,0,0,234.12749999999997,171.39899999999997,280.06949999999995,88.35,0,294.2055,159.9135,113.088,0,0,0,0
13,95.418,85.69949999999999,159.03,65.37899999999999,62.7285,120.15599999999999,110.43749999999999,151.0785,154.61249999999998,172.2825,0,0,234.12749999999997,171.39899999999997,280.06949999999995,88.35,0,294.2055,159.9135,113.088,0,0,0,0
14,95.418,85.69949999999999,159.03,65.37899999999999,62.7285,120.15599999999999,110.43749999999999,151.0785,154.61249999999998,172.2825,0,0,234.12749999999997,171.39899999999997,280.06949999999995,88.35,0,294.2055,159.9135,113.088,0,0,0,0
15,93.40920000000001,83.8953,155.68200000000002,64.0026,61.4079,117.62639999999999,108.1125,147.89790000000002,151.3575,168.65550000000002,0,0,229.1985,167.7906,274.17330000000004,86.49,0,288.0117,156.5469,110.7072,0,0,0,0
16,93.40920000000001,83.8953,155.68200000000002,64.0026,61.4079,117.62639999999999,108.1125,147.89790000000002,151.3575,168.65550000000002,0,0,229.1985,167.7906,274.17330000000004,86.49,0,288.0117,156.5469,110.7072,0,0,0,0
17,99.4356,89.30789999999999,165.726,68.1318,65.3697,125.21519999999998,115.08749999999998,157.4397,161.12249999999997,179.53650000000002,0,0,243.9855,178.61579999999998,291.8619,92.07,0,306.5931,166.64669999999998,117.8496,0,0,0,0
18,100.44,90.21,167.4,68.82,66.02999999999999,126.48,116.24999999999999,159.03,162.74999999999997,181.35000000000002,0,0,246.45,180.42,294.81,93.0,0,309.69,168.33,119.04,0,0,0,0
19,100.44,90.21,167.4,68.82,66.02999999999999,126.48,116.24999999999999,159.03,162.74999999999997,181.35000000000002,0,0,246.45,180.42,294.81,93.0,0,309.69,168.33,119.04,0,0,0,0
20,96.4224,86.6016,160.704,66.0672,63.38879999999999,121.4208,111.59999999999998,152.6688,156.23999999999998,174.09600000000003,0,0,236.592,173.2032,283.01759999999996,89.28,0,297.30240000000003,161.59679999999997,114.2784,0,0,0,0
21,91.4004,82.09109999999998,152.334,62.6262,60.0873,115.09679999999999,105.78749999999998,144.7173,148.1025,165.0285,0,0,224.26949999999997,164.18219999999997,268.2771,84.63,0,281.81789999999995,153.18029999999996,108.32639999999999,0,0,0,0
22,83.3652,74.87429999999999,138.942,57.1206,54.804899999999996,104.97840000000001,96.48749999999998,131.9949,135.08249999999998,150.5205,0,0,204.55349999999999,149.74859999999998,244.6923,77.19,0,257.0427,139.71389999999997,98.8032,0,0,0,0
23,73.3212,65.8533,122.20200000000001,50.238600000000005,48.201899999999995,92.3304,84.86249999999998,116.09190000000001,118.8075,132.3855,0,0,179.90849999999998,131.7066,215.21130000000002,67.89,0,226.0737,122.88089999999998,86.89920000000001,0,0,0,0
24,63.2772,56.832300000000004,105.462,43.3566,41.59889999999999,79.6824,73.2375,100.18889999999999,102.5325,114.25050000000002,0,0,155.2635,113.66460000000001,185.7303,58.59,0,195.1047,106.04789999999998,74.9952,0,0,0,0
