line,line_loading
l1,0.42994369663537335
l2,-0.3743282783896134
l3,-0.4401571325314742
l4,0.014976872206418617
l5,0.06959139585752588
l6,0.5118812121469195
l7,-0.2412571521097332
l8,-0.24850541350786712
l9,0.36005715318281145
l10,-0.41464631842818844
l11,0.6190542857142858
l12,-0.03235682080071428
l13,0.04255339222928569
l14,-0.09027027325903142
l15,-0.0812651739366961
l16,-0.15901600000843763
l17,-0.15001090068610232
l18,0.04286243762885289
l19,-0.24229145624282813
l20,0.030461972988260002
l21,-0.21548283268649876
l22,-0.5138371787657741
l23,-0.9681085124856562
l24,0.23563475590920363
l25,-0.8580061224968648
l26,0.19300572168778654
l27,-0.5142367224030103
l28,0.49811082206938584
l29,-0.21008006525831022
l30,-0.3041566571447001
l31,-0.3043229326291549
l32,0.13627431103469295
l33,0.056517511034692915
l34,-0.2958433428552999
