line,Pline
l1,75.24014691119034
l2,-65.50744871818235
l3,-77.02749819300799
l4,2.620952636123258
l5,12.17849427506703
l6,89.57921212571091
l7,-96.50286084389327
l8,-43.488447363876745
l9,63.010001806992
l10,-72.56310572493298
l11,108.3345
l12,-5.662443640124999
l13,7.446843640124996
l14,-36.108109303612565
l15,-32.50606957467844
l16,-63.60640000337505
l17,-60.00436027444093
l18,21.431218814426444
l19,-121.14572812141407
l20,15.23098649413
l21,-107.74141634324938
l22,-128.45929469144352
l23,-242.02712812141405
l24,117.81737795460181
l25,-411.8429387984951
l26,96.50286084389327
l27,-257.11836120150514
l28,249.05541103469292
l29,-105.0400326291551
l30,-152.07832857235005
l31,-304.3229326291549
l32,136.27431103469294
l33,56.517511034692916
l34,-147.92167142764995
