bus,Phi
b1,-0.053605480383880716
b2,-0.0645905418329145
b3,0.0939828015781841
b4,-0.06814455360749763
b5,0.016258460477177532
b6,-0.0895564550968019
b7,0.04078449127250529
b8,-0.029849602727494703
b9,-0.019872377033594454
b10,-0.04297094122139494
b11,0.010458434781440106
b12,0.0074327214091354414
b13,0.0
b14,0.0620665149611625
b15,0.226095218073474
b16,0.2058306290652825
b17,0.27345275806127833
b18,0.28847348272725076
b19,0.14755166288316438
b20,0.1198879777431217
b21,0.3286441098342992
b22,0.4310059064622329
b23,0.11355801650723608
b24,0.17504520468705445
