line,line_loading
l1,0.4293852569889714
l2,-0.37317653976225584
l3,-0.4407504315124299
l4,0.014795212288639057
l5,0.06921461612890385
l6,0.5094230117747278
l7,-0.2396778037974304
l8,-0.24868707342564667
l9,0.3594638542018558
l10,-0.4150230981568105
l11,0.6190542857142858
l12,-0.03219611771552529
l13,0.042392689144096704
l14,-0.09085810797925177
l15,-0.08176197049356757
l16,-0.15930887760771736
l17,-0.15021274012203314
l18,0.04278374520434874
l19,-0.24291733367392396
l20,0.030257916535537704
l21,-0.21583768502801823
l22,-0.5144026765202271
l23,-0.9693602673478481
l24,0.2132123569620557
l25,-1.0
l26,0.19174224303794432
l27,-0.5379226000000001
l28,0.49874842328813174
l29,-0.24301583981627708
l30,-0.294906760183723
l31,-0.22593794130206818
l32,0.13659311164406585
l33,0.05683631164406586
l34,-0.305093239816277
