bus,clearing_price
b1,8.134574944824191
b2,8.12875614211476
b3,8.319765851296099
b4,8.111175961362898
b5,8.096170152354544
b6,8.07363148219314
b7,8.076576578774036
b8,8.076576578774036
b9,8.096785105437702
b10,8.056368052110368
b11,8.01623594914328
b12,8.028710624415265
b13,8.008405453777048
b14,7.961868947866192
b15,8.6724677881572
b16,7.88606143904321
b17,6.615833333333334
b18,6.02
b19,7.916484400327023
b20,7.942876969304006
b21,5.47
b22,5.9288638117283945
b23,7.957438386670616
b24,8.536179019275153
