bus,Phi
b1,-0.05418689770562971
b2,-0.06514514480628954
b3,0.09254798301054325
b4,-0.06861814316373213
b5,0.015854021055511248
b6,-0.08985703126965688
b7,0.04047034343385265
b8,-0.030163750566147344
b9,-0.02027965029703691
b10,-0.04319196363525777
b11,0.010422350101966349
b12,0.007339150627228131
b13,0.0
b14,0.062280965621188816
b15,0.223035069849642
b16,0.20639441773390746
b17,0.2798700428255339
b18,0.3007502750139836
b19,0.14797525572059034
b20,0.12018994770134515
b21,0.30271506984964197
b22,0.41803037152748757
b23,0.11379288418727884
b24,0.17261310568756502
