bus,clearing_price
b1,9.6074468652152
b2,9.597575072498486
b3,9.921629409804206
b4,9.567749709967572
b5,9.542291854894236
b6,9.504054249831071
b7,9.50905070433024
b8,9.50905070433024
b9,9.543335143294035
b10,9.474766265366446
b11,9.406680815221408
b12,9.427844517557238
b13,9.39339611886982
b14,9.31444538569453
b15,10.52
b16,9.185835420579583
b17,7.030851107022414
b18,6.02
b19,9.237448988287515
b20,9.282224861128157
b21,5.0869066704408485
b22,5.865384419349669
b23,9.30692879097127
b24,10.288781561567879
