line,line_loading
l1,0.4288942113761184
l2,-0.3721637961224347
l3,-0.44127212953939804
l4,0.01463547558972859
l5,0.0688833072149612
l6,0.507261473789278
l7,-0.23828905558637434
l8,-0.24884681012455714
l9,0.3589421561748876
l10,-0.41535440707075316
l11,0.6190542857142858
l12,-0.03205480872096784
l13,0.042251380149539254
l14,-0.09137500118750969
l15,-0.08219881227459833
l16,-0.1595664099322146
l17,-0.15039022101930324
l18,0.04271454959822273
l19,-0.2434676784940022
l20,0.030078486177164472
l21,-0.2161497128122857
l22,-0.5148999284492254
l23,-0.9704609569880045
l24,0.19349595483412257
l25,-1.0
l26,0.19063124446909946
l27,-0.558750000696779
l28,0.4993090770368984
l29,-0.2920312194188761
l30,-0.2667187812779029
l31,-0.014884809361048523
l32,0.13687343851844924
l33,0.05711663851844921
l34,-0.3332812187220971
